trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1699,2,1,11657.0,45351.5,5,4,32954842
1124,0,2,44749.0,74610.8,0,5,80269753
1810,0,0,109.4,31794.5,7,0,0
745,0,0,99.8,20096.8,7,0,0
1657,2,4,14.6,42068.7,6,0,0
2033,0,2,5896.0,24340.7,2,11,71632808
1841,0,0,102.4,25534.8,7,0,0
483,2,1,9.0,79647.9,1,11,30289006
2175,0,0,322.2,88862.1,7,0,0
1231,0,0,100.5,25154.3,7,0,0
1847,2,1,3799.0,46085.2,5,9,19417429
1779,0,0,178.5,43944.2,7,0,0
1983,0,3,18600.0,56200.2,0,0,0
1930,0,0,83.3,20116.0,7,0,0
1900,0,0,106.8,27508.3,7,0,0
1476,0,0,271.6,65134.4,7,0,0
1261,2,4,14.6,24682.2,6,0,0
2059,0,3,20673.0,106431.6,0,0,0
1374,0,3,22339.0,75209.3,0,0,0
1465,2,4,700.0,37426.3,0,0,0
1535,2,4,14.6,37227.1,6,0,0
1335,2,1,1915.0,11466.6,5,4,72995984
1718,0,0,230.1,56242.8,7,0,0
1073,2,4,11300.0,43685.1,0,0,0
2083,0,0,105.4,85809.7,7,0,0
532,2,4,3360.0,22506.1,0,0,0
1930,0,0,246.4,59609.8,7,0,0
1930,0,0,83.6,20277.5,7,0,0
2011,2,4,17700.0,38263.7,0,0,0
865,0,0,107.2,26808.5,7,0,0
987,0,0,134.7,31466.2,7,0,0
714,2,4,14.6,34542.9,6,0,0
1565,2,4,14.6,52198.9,6,0,0
1323,0,0,117.4,29242.6,7,0,0
1935,2,1,463.0,26642.4,3,5,25759440
1758,0,3,15121.0,42404.6,0,0,0
2144,0,0,261.9,57972.7,7,0,0
1688,0,0,153.6,38982.8,7,0,0
2022,0,0,234.0,64226.9,7,0,0
1451,0,2,10124.0,41808.8,0,4,98249238
469,2,4,14.6,27828.8,6,0,0
956,0,3,7400.0,18102.5,0,0,0
1029,2,4,400.0,18629.5,0,0,0
1900,2,4,14.6,27171.2,6,0,0
1925,2,4,16500.0,53980.9,0,0,0
1906,0,2,29880.0,100535.5,0,13,86406272
1876,0,2,3764.0,17653.0,0,11,1255870
1231,2,4,100.0,22573.1,6,0,0
1985,2,4,5280.0,15481.6,0,0,0
1749,0,0,114.5,28731.6,7,0,0
1900,0,0,114.0,28548.7,7,0,0
1916,2,4,3200.0,29262.9,0,0,0
1489,0,3,26530.0,81848.2,0,0,0
1323,2,4,14.6,25238.5,6,0,0
1883,0,2,3378.0,20290.7,0,1,97203635
1718,0,0,224.2,56230.7,7,0,0
1200,2,4,14.6,17920.5,6,0,0
1808,0,3,23509.0,24409.0,0,0,0
1998,0,3,11368.0,47975.5,0,0,0
1493,0,3,500.0,20600.0,0,0,0
1507,2,4,5040.0,22359.3,0,0,0
1384,2,4,14.6,20945.3,6,0,0
907,0,3,4600.0,27600.0,0,0,0
1244,2,1,392.0,41651.5,5,10,38680678
1637,0,3,19386.0,68197.9,0,0,0
1150,2,1,1522.0,19974.9,1,3,45131552
524,1,4,6996.0,22982.4,0,0,0
968,2,1,2329.0,25412.9,5,12,37676316
1895,2,4,14800.0,38531.0,0,0,0
1718,2,4,14.6,49287.1,6,0,0
1058,2,4,5400.0,33825.2,0,0,0
1153,0,3,24439.0,49595.4,0,0,0
1943,2,4,7200.0,16133.5,0,0,0
2114,0,0,71.1,18006.9,7,0,0
2095,2,1,3448.0,54055.9,5,9,53213423
478,2,1,1302.0,23371.5,3,1,90722965
683,0,0,322.5,39974.9,7,0,0
506,0,3,30766.5,71121.5,0,0,0
2004,2,4,1520.0,13415.4,0,0,0
1912,0,3,14100.0,22391.1,0,0,0
1657,2,4,30.0,33634.5,6,0,0
174,2,1,2728.0,23288.6,5,13,29599017
1626,0,0,140.2,17069.1,7,0,0
1323,0,0,59.4,15836.5,7,0,0
1890,0,3,31215.0,51644.7,0,0,0
2125,2,4,13800.0,33008.5,0,0,0
1900,2,4,14.6,21890.9,6,0,0
1937,0,3,13049.0,49812.9,0,0,0
2163,0,3,17620.0,74199.6,0,0,0
1872,0,3,47207.0,73760.3,0,0,0
745,0,0,70.5,13496.3,7,0,0
1061,0,2,16856.0,47814.8,0,2,4289520
1139,0,0,175.2,40059.4,7,0,0
2149,2,1,2040.0,18082.3,5,1,21871125
1695,2,4,32200.0,68890.8,0,0,0
1844,2,4,5880.0,30768.9,0,0,0
1815,2,4,900.0,51455.3,0,0,0
1961,0,0,157.0,41951.7,7,0,0
1876,0,2,4760.0,19717.8,2,2,26803970
1668,0,3,7200.0,51483.3,0,0,0
647,2,4,2000.0,28420.1,0,0,0
1841,2,4,14.6,20965.6,6,0,0
1139,0,0,63.2,16116.0,7,0,0
1930,0,0,73.3,14239.5,7,0,0
1841,2,4,14.6,42685.9,6,0,0
809,2,1,224.0,25162.9,5,9,4900444
1515,0,3,36098.0,59712.8,0,0,0
804,0,0,170.4,47235.3,7,0,0
1971,2,1,1978.0,19739.5,1,12,26200568
1761,2,1,105.0,26166.6,1,13,12989753
1445,2,4,14.6,32965.8,6,0,0
1573,2,1,3487.0,81012.4,5,13,20354813
1626,2,4,14.6,44862.0,6,0,0
2032,2,1,1494.0,32243.9,5,7,70536905
1451,0,3,14407.0,43741.2,0,0,0
1596,0,0,94.6,22486.1,7,0,0
209,0,2,19106.0,56570.0,0,11,13876933
1719,1,4,4999.0,36792.5,0,0,0
2065,2,1,511.0,99520.1,3,4,15961814
1637,2,1,912.0,46269.2,5,8,14523250
1541,0,2,6075.0,13050.0,2,9,47982800
1689,2,4,5000.0,14308.3,0,0,0
227,2,4,14.6,26447.9,6,0,0
1243,0,2,3494.0,23216.7,0,5,89189946
1384,0,0,138.4,32544.1,7,0,0
288,2,4,14.6,46615.4,6,0,0
2144,0,0,319.3,76117.1,7,0,0
906,2,1,2774.0,33720.2,5,10,68375611
1785,2,1,3275.0,16121.6,5,5,84733837
1292,0,0,110.4,28148.5,7,0,0
2175,0,0,108.0,23168.3,7,0,0
1587,0,3,35609.0,96459.1,0,0,0
1274,0,2,5531.0,26282.5,2,5,7849169
1999,0,2,2974.0,17964.9,0,12,38920897
509,2,4,8200.0,32994.8,0,0,0
1759,2,1,578.0,11375.0,1,13,16720837
745,2,4,14.6,29098.2,6,0,0
1779,0,0,104.5,26068.3,7,0,0
1459,2,4,4200.0,40276.3,0,0,0
1160,0,3,1200.0,23754.0,0,0,0
1749,2,4,14.6,78596.5,6,0,0
1583,2,4,21900.0,55087.6,0,0,0
895,2,4,14.6,22633.6,6,0,0
1565,2,4,14.6,73950.7,6,0,0
931,2,1,2285.0,13070.1,5,3,34919470
661,2,1,4111.0,41776.2,1,7,7310396
1657,2,4,14.6,23885.0,6,0,0
1384,2,4,14.6,54835.0,6,0,0
1669,2,4,5400.0,70081.3,0,0,0
1384,2,4,14.6,8533.8,6,0,0
1816,2,4,2640.0,21903.0,0,0,0
444,2,1,9493.0,48600.6,5,3,98678969
1460,2,5,1200.0,30212.1,0,0,0
1664,2,1,4885.0,12456.6,5,12,36372977
2064,2,4,2200.0,95013.1,5,0,0
2144,2,4,14.6,14645.9,6,0,0
510,0,2,57164.0,78663.6,0,9,77844226
2083,2,4,14.6,21748.3,6,0,0
2150,2,1,4664.0,61330.8,5,11,37215685
408,0,0,105.8,28331.0,7,0,0
1000,2,4,8600.0,70234.6,0,0,0
1900,2,4,14.6,20954.5,6,0,0
856,2,4,2700.0,28316.2,0,0,0
1779,2,4,14.6,22467.4,6,0,0
1662,2,1,1285.0,22406.7,5,3,87448715
351,0,3,500.0,500.0,0,0,0
1718,0,0,104.9,22891.3,7,0,0
1333,2,1,1388.0,56900.8,1,9,99909179
1504,0,0,57.7,14667.9,7,0,0
1596,2,4,14.6,29426.4,6,0,0
2062,2,1,643.0,57694.5,5,12,32746297
874,2,1,1991.0,25296.6,5,11,95629697
2095,2,1,1756.0,42915.2,8,8,46252030
1337,1,4,19347.0,55891.8,0,0,0
2066,2,1,988.0,14139.8,0,13,23543101
1110,0,0,81.3,25158.6,7,0,0
1535,2,4,14.6,19351.2,6,0,0
2028,2,1,129.0,46683.5,1,6,20009470
2002,0,3,11200.0,31932.9,0,0,0
1139,0,0,88.7,19710.1,7,0,0
2001,0,3,35138.0,86986.1,0,0,0
1639,2,1,2013.0,33222.0,5,7,51578915
1208,0,3,8844.0,45091.0,0,0,0
987,2,4,14.6,43555.8,6,0,0
1543,2,1,2846.0,9627.0,5,3,27696168
1847,0,2,6075.0,30964.2,2,9,47982800
1048,0,0,5.2,2446.7,7,0,0
1091,2,4,1800.0,22179.1,0,0,0
360,2,1,13208.0,17327.4,5,12,58510798
1109,2,4,3800.0,35021.3,0,0,0
2095,2,4,6700.0,33937.8,0,0,0
660,2,1,3106.0,20741.6,5,4,89983695
1577,2,4,10100.0,17350.8,0,0,0
1895,0,3,9644.0,75224.9,0,0,0
622,0,0,247.0,46443.0,7,0,0
2022,0,0,361.6,79788.0,7,0,0
1328,2,1,2898.0,35873.6,1,1,88160776
1238,0,3,19573.5,52478.8,0,0,0
749,0,3,2300.0,30633.1,0,0,0
739,2,4,2080.0,17809.7,0,0,0
1950,2,4,10300.0,54015.1,0,0,0
2053,2,4,3900.0,13145.2,0,0,0
1450,2,1,355.0,42838.5,1,10,56174659
1110,0,0,26.2,1926.1,7,0,0
1529,0,3,21695.0,57646.2,0,0,0
1869,2,4,14.6,48858.6,6,0,0
1445,2,4,14.6,29427.0,6,0,0
1079,0,0,220.3,55989.7,7,0,0
1626,0,0,217.5,60740.6,7,0,0
957,0,0,111.4,26636.2,7,0,0
2001,2,1,671.0,16782.2,1,10,28254646
1991,0,0,148.0,31713.0,7,0,0
1963,2,4,6600.0,38309.6,0,0,0
1930,0,0,296.8,79512.6,7,0,0
1617,2,4,2600.0,4914.6,5,0,0
1996,0,3,46693.0,129825.5,0,0,0
873,2,4,800.0,19640.0,0,0,0
891,2,4,2040.0,31722.5,0,0,0
719,0,3,48128.0,64951.4,0,0,0
804,0,0,24.7,15311.6,7,0,0
1062,2,1,3570.0,21162.4,5,8,41120845
474,2,1,413.0,24999.6,1,13,66767722
1384,0,0,158.0,39553.4,7,0,0
964,0,3,19968.0,40725.0,0,0,0
798,0,3,13900.0,23099.2,0,0,0
972,2,4,21400.0,56124.8,0,0,0
2083,2,4,14.6,44249.1,6,0,0
2022,2,4,14.6,41796.0,6,0,0
1446,2,4,18700.0,43024.8,0,0,0
745,2,4,14.6,12208.1,6,0,0
1984,2,4,12200.0,16800.0,0,0,0
1785,2,1,3943.0,31466.5,5,11,24647236
1779,2,4,14.6,45372.4,6,0,0
1938,0,3,23446.0,61138.6,0,0,0
1605,1,4,15890.0,36051.2,0,0,0
1702,0,3,18146.0,41195.2,0,0,0
1930,2,4,14.6,37681.4,6,0,0
1415,2,4,550.0,20650.5,0,0,0
420,0,3,43396.0,67463.2,0,0,0
1810,0,0,271.1,52618.3,7,0,0
1179,2,1,6358.0,25288.4,5,7,74623369
1579,0,2,2909.0,31463.4,0,6,13290429
1420,0,3,37991.0,88802.1,0,0,0
895,0,0,204.1,51084.6,7,0,0
1145,2,1,957.0,23669.8,1,8,607473
1944,2,1,356.0,60728.3,3,6,25988853
1610,2,1,3403.0,57211.5,1,5,54032
804,2,4,14.6,19221.5,6,0,0
1882,0,3,15236.0,46471.6,0,0,0
1594,2,4,28400.0,84025.6,0,0,0
1596,0,0,94.8,19812.4,7,0,0
1920,2,4,8600.0,23902.1,0,0,0
1835,2,4,2000.0,24964.5,0,0,0
2114,0,0,67.6,15692.2,7,0,0
1083,2,4,2640.0,17718.0,0,0,0
1965,2,4,5350.0,20071.8,0,0,0
1730,2,1,3713.0,75077.2,5,8,23646956
1948,2,4,5800.0,34205.3,0,0,0
1688,0,0,163.8,41960.8,7,0,0
1445,0,0,63.2,11775.0,7,0,0
1704,2,5,900.0,65852.6,0,0,0
1930,0,0,243.2,49789.3,7,0,0
1979,2,4,13200.0,64373.2,0,0,0
329,0,3,6200.0,14588.5,0,0,0
1749,0,0,136.3,32878.4,7,0,0
1900,2,4,14.6,52855.5,6,0,0
1474,2,4,1350.0,24504.3,0,0,0
1445,0,0,117.6,27901.3,7,0,0
2053,0,0,117.9,28929.9,7,0,0
500,0,0,103.9,33922.4,7,0,0
658,0,3,32507.0,109536.8,0,0,0
1515,0,2,4696.0,5096.0,2,9,54123032
1096,2,4,8700.0,30200.5,0,0,0
602,2,4,14700.0,43822.3,0,0,0
1760,0,2,5776.0,27897.9,2,9,49979138
1997,2,1,3666.0,26074.5,5,7,76685434
1753,0,3,900.0,900.0,0,0,0
2074,0,3,36932.0,71496.5,0,0,0
1779,0,0,285.1,65679.6,7,0,0
1779,2,4,14.6,17365.8,6,0,0
288,2,4,14.6,21786.6,6,0,0
1683,2,4,17400.0,30397.6,0,0,0
1476,2,4,14.6,12706.5,6,0,0
1571,2,1,3068.0,29533.9,5,10,53192520
1218,2,4,3000.0,28570.1,0,0,0
1018,0,0,335.4,83903.6,7,0,0
1634,0,2,3371.0,18756.9,0,5,64889794
2140,2,4,2900.0,35537.5,0,0,0
1924,2,4,10500.0,47436.5,0,0,0
2089,2,1,1042.0,35539.4,3,5,7093429
1946,2,4,7600.0,10197.8,0,0,0
1521,2,4,1320.0,39609.9,0,0,0
1900,2,4,14.6,52875.3,6,0,0
1197,2,4,900.0,25315.5,0,0,0
1834,2,4,12000.0,59641.5,0,0,0
1686,2,4,8100.0,14681.7,0,0,0
1733,0,3,1200.0,36244.0,0,0,0
2134,2,4,6000.0,20940.2,0,0,0
955,0,3,39452.0,61510.4,0,0,0
1292,0,0,197.6,48143.5,7,0,0
1445,0,0,139.4,37532.5,7,0,0
622,2,4,14.6,27197.1,6,0,0
1542,2,1,3829.0,18935.2,5,10,62647694
1852,2,1,254.0,11058.1,1,1,90330576
244,2,4,800.0,26329.4,0,0,0
1094,2,4,2240.0,30823.6,0,0,0
653,0,0,110.4,25735.3,7,0,0
2152,2,4,1800.0,38478.5,0,0,0
355,2,1,2212.0,32355.5,5,10,30570674
1476,2,4,14.6,27564.5,6,0,0
948,2,4,1200.0,25444.4,0,0,0
2114,0,0,180.5,38642.8,7,0,0
1858,2,4,4320.0,32318.1,0,0,0
1565,0,0,216.5,49806.6,7,0,0
270,2,4,19500.0,46083.5,0,0,0
1608,2,1,4581.0,22236.6,5,10,9433424
910,2,4,15000.0,34876.2,0,0,0
1657,0,0,129.3,32715.4,7,0,0
505,2,1,1748.0,41621.0,1,10,12887466
804,2,4,14.6,30619.8,6,0,0
1018,0,0,134.8,33419.4,7,0,0
1352,2,4,19700.0,40683.3,0,0,0
1827,2,4,11800.0,53426.5,0,0,0
1596,0,0,144.9,38299.6,7,0,0
689,2,1,177.0,26370.4,3,10,86506151
1353,2,4,14.6,43280.0,6,0,0
773,0,0,96.5,26592.1,7,0,0
1827,2,4,16400.0,45435.4,0,0,0
1108,0,3,700.0,700.0,0,0,0
1563,2,4,4200.0,45575.1,0,0,0
212,0,3,6900.0,18337.0,0,0,0
1841,0,0,72.5,14348.9,7,0,0
1668,0,2,3151.0,36651.3,0,13,74529486
1445,2,4,14.6,28143.8,6,0,0
872,1,4,22150.0,32382.2,0,0,0
1900,0,0,251.7,58904.3,7,0,0
500,0,0,211.7,46545.5,7,0,0
2144,2,4,14.6,21112.1,6,0,0
1414,2,4,14.6,25223.9,6,0,0
1153,0,3,10417.0,34590.7,0,0,0
1631,0,3,6588.0,46518.2,0,0,0
2144,0,0,241.6,62439.6,7,0,0
1489,2,4,21400.0,38228.1,0,0,0
705,2,4,23800.0,49277.5,0,0,0
308,2,4,15300.0,38022.4,0,0,0
1298,2,1,1697.0,21838.3,5,13,70699482
1602,2,4,13000.0,16013.2,0,0,0
2033,2,1,2506.0,24720.0,5,2,8085334
1231,0,0,31.6,14982.2,7,0,0
1239,2,4,3930.0,26906.1,0,0,0
926,2,4,14.6,19129.3,6,0,0
299,2,1,9716.0,62510.3,5,1,72762232
2144,0,0,113.7,29035.9,7,0,0
1708,2,4,6600.0,93912.5,0,0,0
2061,2,1,5546.0,12563.3,5,6,3428757
926,0,0,109.8,27921.5,7,0,0
756,0,2,46312.0,73650.4,0,3,68641763
1732,2,1,1698.0,20619.9,1,12,18512994
2089,2,1,8181.0,41327.3,5,8,72668206
509,0,3,25970.0,54115.3,0,0,0
1725,0,3,22143.0,62521.1,0,0,0
1718,2,4,14.6,28811.8,6,0,0
848,2,1,2107.0,20130.3,5,12,79798763
1756,2,1,982.0,20710.7,5,10,30481368
1991,2,4,14.6,28373.4,6,0,0
2003,2,1,3810.0,34117.2,8,11,59188014
777,2,4,22500.0,56309.3,0,0,0
1701,1,4,6378.0,21706.9,0,0,0
1749,0,0,257.9,63647.7,7,0,0
903,2,1,3311.0,59273.4,1,11,17594236
1935,0,3,17571.0,38611.5,0,0,0
2114,0,0,204.4,49388.9,7,0,0
1823,2,4,1500.0,40848.4,0,0,0
1110,2,4,14.6,29955.0,6,0,0
1084,2,1,7824.0,44481.5,5,13,27985441
1084,0,3,19935.0,67412.6,0,0,0
2073,2,4,3900.0,89145.5,0,0,0
1880,2,4,7400.0,38206.4,0,0,0
1139,0,0,127.6,33931.8,7,0,0
1667,2,1,9044.0,43916.6,5,4,33019089
1749,0,0,200.2,46919.4,7,0,0
1425,2,1,1.0,27777.2,5,10,7648384
